,name,guiname,slider,description,flags,introduce,cancel,raise,lower,department,mincost,maxcost,cost multiplier,implementation,minincome,maxincome,incomemultiplier,,,,,,,,,,
#,GovernmentSubsidiesForUnions,Subsidios do governo para Sindicatos,default,"Os sindicatos prestam um serviço vital para a nossa nação, e ele está nos interesses coletivos das pessoas que sejam encorajados e apoiados ao longo de todas as indústrias e locais de trabalho. Portanto, o governo deve fornecer financiamento, de tributação para apoiar suas atividades.",,19,12,4,8,ECONOMY,60,350,,2,0,0,,#Effects,"TradeUnionist,0+(0.25*x)","Capitalist,0-(0.12*x)","_global_socialism,0.024+(0.058*x),8","TradeUnionist_freq,0+(0.12*x),4","TradeUnionist_income,0+(0.09*x)","Wages,0+(0.04*x),4",,,
#,SecretCourts,Cortes Secretas,secretcourts,"Para combater o terrorismo moderno e crime, às vezes é necessário manter as coisas do público. Para isso, os tribunais secretos são estabelecidos e controlados por funcionários do governo para garantir que a lei é seguida e não quebrada. Não podemos efetivamente combater o terrorismo e a criminalidade grave, se os nossos métodos de serviços secretos ficam expostos em tribunais abertos.",,38,14,10,10,LAWANDORDER,30,100,,2,0,0,,#Effects,"Liberal,-0.1+(x^2)*-0.25","CrimeRate,-0.02+(x^0.7)*-0.07,4","_Terrorism,-0.03+(x^2)*-0.14,4","ForeignRelations,-0.05+(x^2)*-0.11,4","Organised Crime,-0.12*(x^4),2",,,,
#,GeneralMediaCensorship,Censura da Mídia,censorship,"Há momentos em que um público indignado prejudica no bem-estar de uma democracia. Permitir a censura da mídia pode prevenir maus rumores e especulação sobre perder o controle mesmo limitando os direitos civis, mas menos violência e medo deverão valer o esforço. Nós não desejamos dar a extremistas antissociais a liberdade de usar nossa mídia para provocar agitação. ",,35,12,12,12,LAWANDORDER,50,210,,1,0,0,,#Effects,"Liberal,-0.23*(x^2)","Conservatives,0+(0.09*x)","_Terrorism,0-(x*0.07),4",,,,,,
#,TortureUsageBySecretServices,Uso de Tortura Pelo Serviço Secreto,torturedevices,"Terroristas são pessoas difíceis de lidar e para prevenir ataques, medidas extraordinárias algumas vezes são necessárias. Enquanto nunca é 100% comprovado o quanto o crime e o terrorismo podem ser reduzidos a partir de tais políticas, faz sentido não lutar contra tais inimigos com uma mão amarrada às costas de nossos serviços de segurança? Bem, é preciso combater fogo com fogo.",,40,10,10,10,LAWANDORDER,30,100,,4,0,0,,#Effects,"Liberal,-0.10+(x^2)*-0.2","ForeignRelations,-0.02+(x^2)*-0.09","_Terrorism,-0.02+(x^2)*-0.10,4","Patriot,0.02+(x^0.5)*0.06","Conservatives,0.03+(x^0.5)*0.03","Organised Crime,-0.01+(x^4)*-0.12,2","ViolentCrimeRate,-0.11*(x^4),2",,
#,CapCEOPayMultiplier,Teto Salarial dos CEOS,ceopay,"Ninguém contesta que o trabalho de CEO de uma grande empresa é difícil, mas o nível atual de remuneração para executivos está fora de controle e está causando grande revolta entre os mais mal pagos. um limite para a remuneração do CEO é inteiramente razoável em uma sociedade justa e equitativa.",,25,16,9,9,ECONOMY,0,0,,2,0,0,,#Effects,"Capitalist,-0.18*(x+0.25)^3","Socialist,0.15*(x+0.39)^3","Wealthy_income,-0.21*(x+0.32)^4","CorporateExodus,+0.29*(x^3),4","Uncompetitive Economy,0.14*(x^2),4","BrainDrain,0.29*(x+0.1)^3,4","Equality,0.15*(x+0.2)^4","Wealthy,-0.32*(x^3)","_global_socialism,0.05*(x+0.23)^4,8"
#,BanSecondHomeOwnership,Proibir Posse de Segunda Casa,ban,"As leis da física ditam que uma pessoa pode ocupar apenas um lugar no mesmo tempo. Então por que pessoas precisam de duas moradias? Com essa política, ter mais de uma moradia é contra a lei e propriedades vazias serão confiscados pelo governo, aumentando consideravelmente a igualdade social e fornecendo uma boa moradia para muitas pessoas.",,28,10,9,9,WELFARE,5,12,,4,0,0,,#Effects,"Wealthy,-0.21*(x^0.5)","Capitalist,-0.11*(x^0.5)","Poor,0.08*(x^0.9)","PovertyRate,0-(x*0.06)","Socialist,0.07*(x^0.5)","Homelessness,-0.17*(x^0.5),4","Equality,0.08*(x^2)",,
#,Banprivateeducation,Proibição do Ensino Particular,ban,"Para ter certeza que as crianças da escola aprenderam a coisa certa e não são influenciados por idéias estranhas, proibir todas as escolas privadas de existir podem ser a coisa certa a fazer. Agora que não há mas as escolas de elite, toda criança tem agora a mesma oportunidade de aprender e se tornar algo grande, aumentando a igualdade no processo, como as crianças de todas as classes e níveis de renda misturam.",,32,14,10,10,PUBLICSERVICES,0,0,,4,0,0,,#Effects,"PrivateSchools,-0.1+(x^0.5)*-1.5","Equality,0.08*(x^0.5),12","Socialist,0.06*(x^0.5)","_global_socialism,0.06*(x^0.5),12","ClassWarfare,0-(0.10*x),8","Capitalist,-0.05-(0.12*x)","Wealthy,-0.04-(0.11*x)",,
#,Banprivatehealthcare,Proibição de saúde privada,ban,"Por que algumas pessoas gozam de melhor tratamento de saúde privado, enquanto outros têm que recorrer ao publico? Proibir a saúde privada vai se certificar de que ninguém recebe tratamento especial. A saúde de ninguém deve ser determinado pelo tamanho de seu saldo bancário.",,32,14,10,10,PUBLICSERVICES,0,0,,4,0,0,,#Effects,"PrivateHealthcare,-0.1+(x^0.5)*-1.5","Equality,0.08*(x^0.5),12","Socialist,0.07*(x^0.5)","_global_socialism,0.06*(x^0.5),12","Capitalist,-0.11*(x^0.5)","Wealthy,-0.05-(0.13*x)",,,
#,Tradeunionbansatcompanies,Restrições Sindicais,unionban,"As empresas enfrentam uma série de desafios em nossos tempos modernos. Sindicatos frequentemente acrescentar a estes desafios com suas demandas e necessidades, por isso a proibição dessas organizações vai ajudar o foco da gestão em tornar a empresa competitiva e maximizar os lucros. É claro que os trabalhadores ainda têm os seus direitos, eles só têm a ganhar-lhes, sem o apoio de uma instituição de desperdício.",,32,13,15,15,ECONOMY,0,0,,4,0,0,,#Effects,"TradeUnionist,-0.04-(0.32*x)","Capitalist,0.02+(0.07*x)","WorkerProductivity,0.01+(0.07*x),4","_global_socialism,0+(x*-0.10),8","TradeUnionist_freq,-0.1-(x*0.98)^2,4","WorkingWeek,0.12*(x^2),4","Wages,0-(0.07*x),4",,
#,Compulsoryworkfortheunemployed ,Trabalho obrigatório para os desempregados,workforunemployed,"Aos desempregados que recebem auxilio do governo, agora tem que fazer algum trabalho semanal ou ter corte de pagamento de seus benefícios. Isso inclui embelezamento público, recolher lixo e outras tarefas. O objetivo é fazer uso dessa grande força de trabalho e levar as pessoas de volta para a rotina de trabalho, espero que lhes consigam um emprego em breve. Ninguém deve esperar viver no estado sem trabalhar.",,25,16,12,12,WELFARE,25,110,,4,0,0,,#Effects,"Poor,-0.12*(x^Unemployment)","Socialist,-0.12*(x^0.5)","GDP,0.03*(x^0.5),4","MiddleIncome,0.02+(x*0.05),4","Capitalist,0.03+(x*0.06)","Unemployment,0-(0.05*x),7",,,
#,Punitivewealthtax,Imposto Sobre Riquezas,tax,"There is nothing wrong with wealth as such, but inequality in our society is bad enough that we must be seen to do something to ensure those with the highest levels of income bear their share of the costs of maintaining a healthy society. It is entirely reasonable to set a tax rate that takes away the majority of income above extremely high levels, as this money is so much more appreciated by those on lower incomes.",MULTIPLYINCOME,22,12,11,11,TAX,0,0,,1,120,6800,"GDP,0.5+(0.5*x);Wealthy_perc,0.5+(0.5*x)",#Effects,"Wealthy,-0.02-(x*0.81)^2","Capitalist,-0.09*(x^2)","Socialist,0.18*(x^2)","BrainDrain,0.15*(x^2),4","_global_socialism,0.065*(x^2),8","Wealthy_income,0-(x*0.55)","CorporateExodus,0+(0.2*x),8",,
#,Publictaxreturns,Declarações de Imposto Públicas,taxreturns,"Infelizmente, algumas pessoas ricas de nossa sociedade tentam evitar os impostos com métodos ilegais de evasão fiscal. Ao deixar a declaração de imposto publica, as pessoas podem verificar se alguém está usando brechas ou abusando do sistema. Esta ampla divulgação vai incentivar o apoio do sistema, bem como reduzir a evasão fiscal e obrigar as pessoas a justificar suas fontes de renda.",,14,9,7,7,TAX,0,0,,4,0,0,,#Effects,"Wealthy,-0.08*(x^2)","Equality,0.03*(x^0.5),8","Liberal,-0.04-(0.02*x)","TaxEvasion,-0.05-(0.15*x),4","Blackmarket,-0.1-(0.10*x),2","Socialist,0.02+(0.02*x)",,,
#,Compulsorylanguagelessons,Obrigado fazer as lições de casa,default,"Algumas pessoas não podem se sentir incomodadas com o fato de ter que aprender outras línguas para melhorar suas chances no mercado de trabalho ou para entender pessoas de diferentes nações. Aulas obrigatórias de línguas estrangeiras irá forçar essas pessoas a lidar com o mundo lá fora, melhorar nossas atitudes com visitantes estrangeiros, e nos possibilitar a realizar melhores negociações com empresas estrangeiras, tudo isso enquanto nos dá uma melhor compreensão de outras culturas.",,24,10,10,10,PUBLICSERVICES,80,205,,2,0,0,,#Effects,"RacialTension,-0.05-(x*0.10),18","Education,0.02+(x*0.03),4","ForeignRelations,0.045+(x*0.10),4","InternationalTrade,0.02+(x*0.08),8","Immigration,0.01+(x*0.08),8","Patriot,-0.08*(x^2)",,,
#,Banforeignchurchservice,Proibido Serviço de Igreja Estrageira,foreignchurchban,"Os mal-entendidos podem levar a tragédias e nada tem causado mais problemas e mortes no passado do que conflito religioso. A maneira mais fácil de evitar mais problemas aqui é proibir culto estrangeiro diretamente, evitando novos mal-entendidos e agitação.",,30,16,12,12,PUBLICSERVICES,0,0,,2,0,0,,#Effects,"Religious,0.04+(x*0.20)","Liberal,-0.04-(x*0.11)","EthnicMinorities,-0.07-(x*0.43)","Immigration,-0.03-(x*0.7),2","RacialTension,0.05+(x*0.25)",,,,
#,Diversityquotasforcompanies,Cotas De Diversidade Para Companhias,default,"Uma empresa diversificada é uma empresa feliz e saudável. Habilitando quotas de diversidade para as empresas irá força-las a contratar mais pessoas de diferentes etnias que possuem a mesma qualificação,diminuindo as tensões raciais e transformando as empresas em um local de oportunidades iguais.",,22,12,8,8,ECONOMY,5,10,,2,0,0,,#Effects,"EthnicMinorities,0.1+(x*0.15),4","Equality,0.05+(x*0.05),12","Capitalist,-0.04-(x*0.04)","SelfEmployed,-0.06-(x*0.04)","RacialTension,-0.075-(x*0.11),16","Liberal,0.05+(0.08*x)",,,
#,Newcarsubsidies,Novos Subsidios de Carro,default,"Carros novos são caros, entretanto causam menos problemas para o ambiente, enquanto carros velhos e usados podem ser mais baratos mas causam mais poluição. Implementar o subsídio para carros novos irá ajudar a população a comprar carros novos que são mais seguros e protegem o meio ambiente enquanto fazem os motoristas felizes. Cheiro de carro novo para todos!",,14,16,8,8,TRANSPORT,60,800,,1,0,0,,#Effects,"Motorist,0.05+(x*0.13)","OilDemand,-0.02-(x*0.03),4","Motorist_income,0.05+(x*0.08),4","CarUsage,0.02+(x*0.02),4","CO2Emissions,-0.02-(0.02*x),4","Environment,0.02+(0.02*x),4","AsthmaEpidemic,-0.02-(0.02*x),4","GDP,0.01+(0.01*x),2",
#,Flagsoneverystreetcorner,Bandeiras Em Cada Esquina,flagsoncorners,"Para impulsionar o patriotismo e induzir um sentimento de irmandade nas pessoas, colocar bandeiras de nosso país em cada esquina irá ajudar com a nossa auto-estima nacional. Sem contar que torna o visual muito melhor do que propagandas de hambúrguer.",,16,16,6,6,LAWANDORDER,10,80,,1,0,0,,#Effects,"Patriot,0.03+(x*0.21)","ForeignRelations,0-(x*0.04)^2,4","Patriot_freq,0.17*(x^2)+0.1,20","RacialTension,0.01+(0.03*x),4","EthnicMinorities,-0.01-(0.02*x),4",,,,
#,Nationalanthematstartofnews,Hino Nacional No Início Dos Noticiários,nationalnewsanthems,Vinhetas chamativas nos noticiários podem parecer interessantes mas falham em um ponto: As notícias apresentadas são para as pessoas em nosso país. Portanto nós devemos deixar isto claro e adicionar um toque de patriotismo e orgulho colocando o hino nacional na abertura dos notíciarios.,,18,10,7,7,PUBLICSERVICES,0,0,,1,0,0,,#Effects,"Patriot,0.08+(x*0.04)","ForeignRelations,-0.015-(x*0.015),2","Patriot_freq,0.06+(x*0.14),16",,,,,,
#,Nationalanthemsinschool,Hino Nacional em Escolas,anthemsinschool,"Os jovens atualmente perderam todo o espírito de fazer parte de uma nação. Começar o dia na escola com o hino nacional irá impulsionar o seu orgulho nacional e ajudará a discipliná-los. Eles nem sempre irão gostar, mas será bom para eles.",,20,14,8,8,PUBLICSERVICES,0,0,,1,0,0,,#Effects,"Patriot,0.02+(x*0.06)","Young,-0.02-(x*0.05)","Patriot_freq,0.02+(x*0.08),24",,,,,,
#,Compulsorychurchattendance,Frequência Obrigatória a Igreja,churchattendance,Como você será salvo se você não presta atenção ao que é importante e como viver a sua vida? Tornando a frequência às igrejas obrigatória irá poupar muitas almas e conduzirá a uma vida melhor para a maioria de nossas pessoas. Uma pena para aqueles que não acreditam no caminho certo.,,32,20,12,12,LAWANDORDER,0,0,,1,0,0,,#Effects,"Religious,0.04+(x*0.16)","Liberal,-0.08-(x*0.12)","EthnicMinorities,-0.02-(x*0.18)","Religious_freq,0.04+(x*0.20),24",,,,,
#,Forcepoliticalmilitaryreligiousoath,Forçar política e militarmente juramento religioso,religiousoath,"Adicionar religião nas falas públicas de nossos oficiais e militares irá criar uma maior sensação de honra e segurança para o publico, dando-lhes o sentimento de que o que estamos fazendo é a coisa certa a fazer. Com a certeza ao nosso lado, nada pode dar errado.",,28,16,10,10,PUBLICSERVICES,0,0,,1,0,0,,#Effects,"Religious,0.06+(x*0.11)","RacialTension,0.05+(x^2)*0.15,4","ForeignRelations,-0.02-(x^2)*0.08,8","Religious_freq,0.02+(x^2)*0.21,16","Liberal,-0.06-(x^6)*0.54,2",,,,
#,Publicreligiousbroadcasts,Transmissões religiosas públicas,religiousbroadcasts,A voz da fé e da rasão precisa ser ouvida para ter algum efeito. Implementando transmissões religiosas públicas irá fazer um bom serviço em combater todas as más influências da mídia moderna além de fazer as pessoas atribuírem valor as coisas corretas de novo.,,16,14,8,8,PUBLICSERVICES,20,110,,1,0,0,,#Effects,"Religious,0.06+(x*0.12)","Liberal,-0.08-(x*0.19)","Religious_freq,0.03+(x*0.1),16","RacialTension,0.05+(x^2)*0.15,4",,,,,
#,Bandivorce,Banir Divócio,bandivorce,A instituição sagrada do casamento não era pra ser alterada por outra coisa senão a morte. Atualmente as pessoas se divorciam por coisas simples e isso afeta famílias inteiras e o bem-estar de nossas crianças embora muitas vezes o casal só precisava superar o momento difícil. Banindo os divórcios irá trazer de volta ao casamento sua verdadeira essência.,,32,18,12,12,LAWANDORDER,0,0,,1,0,0,,#Effects,"Conservatives,0.06+(x*0.05)","Religious,0.08+(x*0.12)","Liberal,-0.06-(x*0.1)","Religious_freq,-0.01-(x*0.02),8",,,,,
#,Banhomosexuality,Banir Homossexualidade,banhomosexuality,"De acordo com os textos religiosos, homossexualidade é um pecado. A fim de combater esse mal, banir a homossexualidade pode convencer muitos pecadores a colocar sua vida no rumo certo e seguir a ordem natural que Deus destinou.",,48,22,16,16,LAWANDORDER,0,0,,1,0,0,,#Effects,"Religious,0.08+(x*0.07)","Liberal,-0.14-(x^2)*0.28","Conservatives,0.04+(x*0.04)","CrimeRate,0+(x^4)*0.03,4","Religious_freq,-0.02-(x*0.04),8",,,,
#,Banlowmpgcars,Banir Carros De Baixo Km/L,ban,"Com o preço do gás aumentando constantemente e a natureza sendo poluído por todos os lados, banir carros que consomem muito combustível pode ser o passo certo para proteger o ambiente e diminuir o uso excessivo de combustíveis. Uma grande carreta pode parecer legal, mas é muito cara e consome muito combustível e deve ser banida das ruas. O que é bom para o ambiente é bom para a sociedade.",,25,15,10,10,TRANSPORT,4,8,,2,0,0,,#Effects,"OilDemand,-0.025-(0.05*x),12","CarUsage,-0.05-(x^2)*0.1,7","Motorist,-0.05-(x^2)*0.14","Environmentalist,0.05+(x^2)*0.16","Environment,0.03+(x^2)*0.11,8","CO2Emissions,-0.02-(x^2)*0.08,3",,,
#,Mandatorymicrogeneration,Microgeração Obrigatória,default,"Um dos maiores fatores de custo em nossas vidas atualmente são a eletricidade e o aquecimento. Tornando a micro-geração obrigatória, cada cidadão tem o dever de gerar ao menos parte de sua eletricidade utilizando energia solar ou eólica, dependendo de sua situação e de sua localização. Um grande passo em direção à redução de emissão de CO2.",,34,15,7,7,ECONOMY,2,4,,8,0,0,,#Effects,"Environmentalist,0.06+(x*0.13)","OilDemand,-0.02-(x*0.08)","CO2Emissions,-0.03-(x*0.11)","Environmentalist_freq,0.08+(x*0.12),12","Capitalist,-0.05-(0.09*x)","Environment,0.02+(0.04*x)",,,
#,Punitivetaxonsuperstores,Impostos sobre Super/Hypermercados,tax,"Supermercados podem ser convenientes para nossos cidadãos, mas eles tem vários efeitos negativos. Eles encorajam viagens de carros, ao invés de ajudarem a economia local, e a sua dominância está encorajando uma sociedade dominada por grandes negócios, sem espaços para lojas pequenas e familiares. Eles devem pagar impostos para mostrá-los o dano causado por eles em nossa sociedade.",,13,11,6,6,TAX,0,0,,1,400,5000,"GDP,0.5+(0.5*x);",#Effects,"Capitalist,-0.04-(x*0.09)","GDP,-0.01-(x*0.01),4","SelfEmployed,0.06+(x*0.12)","SelfEmployed_freq,0.04+(x*0.08),8","CarUsage,-0.03-(x*0.03),8","Environmentalist,0.03+(0.04*x)","Socialist,0.03+(0.06*x)",,
#,Limitorbancarsincities,Limitar ou proibir carros na cidade,cityban,"Carros são um fator majoritário para a poluição do ar, especialmente nas grandes cidades. Adicionando uma taxa para limitá-los ou banir os carros das cidades irá ajudar muito na luta contra a poluição do ar nas cidades e irá aumentar o uso dos transportes públicos. Pode parece meio absurdo banir os carros de uma vez mas ainda é melhor do que respirar no meio de todo aquele veneno no ar.",,40,10,15,15,TRANSPORT,12,26,,2,0,0,,#Effects,"CarUsage,-0.05-(x^2)*0.31,9","Motorist,-0.1-(x^2)*0.25","Environmentalist,0.03+(x^2)*0.12","Motorist_freq,-0.04-(x^2)*0.22,8","Environment,0.05+(x^2)*0.12,7",,,,
#,Closeairportscompletely,Fechar Aeroportos,closeairports,"Uma medida extrema para combater a poluição, fechar todos os aeroportos terá efeitos severos nas trocas, relações exteriores e turismo mas ira reduzir muito a poluição e aumentará o uso de outros meios de transporte. Nesses dias modernos, nós não podemos apenas fingir que não enxergamos os danos ambientais causados pela nossa indústria aérea. Tempos desesperados trazem medidas desesperadas.",,40,10,15,15,TRANSPORT,0,0,,2,0,0,,#Effects,"AirTravel,-0.6-(x^2)*0.8","InternationalTrade,-0.1-(x^2)*0.24,6","ForeignRelations,-0.04-(x^2)*0.04,6","Tourism,-0.1-(x^2)*0.25,6","Environmentalist,0.08+(x^2)*0.2","Environment,0.02+(x^2)*0.04","GDP,-0.03-(x^2)*0.06,2","Immigration,-0.1-(x^2)*0.21",
