,name,guiname,slider,description,flags,introduce,cancel,raise,lower,department,mincost,maxcost,cost multiplier,implementation,minincome,maxincome,incomemultiplier,,,,,,,,,,,,
#,AdultEducationSubsidies,Subsidios Educacao de Adultos,default,Subsidios de educacao de adultos sao uma forma de incentivar as pessoas a voltar a treinar e continuar a sua educacao depois que eles passaram a integrar a forca de trabalho. Isto inclui aulas noturnas e os recursos de ensino a distancia. Estes esquemas de contribuir para elevar o nivel geral de ensino da forca de trabalho.,,12,18,7,7,PUBLICSERVICES,160,300,,2,0,0,,#Effects,"Education,0.04+(0.04*x),4","WorkerProductivity,0.02+(0.02*x),4",,,,,,,,,
#,AgricultureSubsidies,Subsidios Agriculas,default,"Por razoes estrategicas, alguns governos estao dispostos a pagar os subsidios aos agricultores para garantir a seguranca do abastecimento alimentar da nacao. Isso vai contra a economia de livre inciativa e tambem pode ser muito caro, mas faz trabalhos de salvaguarda (e votos) nas comunidades agricolas.",,15,24,10,10,ECONOMY,120,2800,,4,0,0,,#Effects,"Capitalist,0.00-(0.08*x)","Unemployment,0.00-(0.17*x)","Farmers,0.10+(0.50*x)","Farmers_freq,0.02+(0.18*x),4","Farmers_income,0+(0.35*x)","Health,0-(0.04*x),4",,,,,
#,AirlineTax,Imposto de Companhia Aerea,tax,"Combustivel de companhias aereas geralmente nao tem sido objecto de tributacao. Partidarios de impostos sobre os combustiveis ar insistem que isso resulta em um subsidio injusto em uma forma ambientalmente destrutivo de transporte. As companhias aereas apontam que a tributacao do combustivel de aviao so vai incentiva-los a reabastecer em outros lugares, assim, desviar fundos da nossa economia.",,28,15,13,7,TAX,0,0,,1,115,7015,"AirTravel,0+(1.0*x)",#Effects,"Capitalist,0.00-(0.06*x)","Environmentalist,0.05+(0.10*x)","GDP,0.00-(0.05*x),2","AirTravel,0-(0.3*x),4","_MiddleIncome,0-(0.02*x)",,,,,,
#,AlcoholLaw,Lei do Alcool,alcohollaw,"Ha ampla evidencia de que o consumo excessivo de alcool pode levar a problemas de saude e ate mesmo a morte prematura. No entanto, algumas pessoas se opoem ao estado interferir no direito do individuo escolher o que beber. Ha tambem a complicacao de que o governo pode fazer um monte de dinheiro atraves de impostos sobre o alcool.",UNCANCELLABLE,21,12,13,9,LAWANDORDER,0,0,,1,0,0,,#Effects,"Liberal,0.20-(0.40*x)","AlcoholConsumption,0.5-(1.0*x),4",,"ViolentCrimeRate,0.05-(0.11*x)","Young,-0.2*(x^2)",,,,,,
#,AlcoholTax,Imposto de Alcool,tax,"Clinicamente ha um caso claro para o governo tributar o alcool, a fim de desencorajar o consumo por causa de seus efeitos negativos sobre a saude e as suas possiveis ligacoes com o colapso social. Por outro lado, aqueles que bebem socialmente veem o governo a beneficia-se de um tal imposto a ser hipocrita.",,30,9,9,4,TAX,0,0,,1,0,8050,"AlcoholConsumption,0+(1.0*x)",#Effects,"Poor,0-(0.2*x)","PovertyRate,0+(0.2*x)","Equality,0-(0.1*x)","AlcoholConsumption,0-(0.4*x),2",,,,,,,
#,ArmedPolice,Policia Armada,armedpolice,Policiais Armados podem ser uma estrategia eficaz para dissuadir o crime e manter a ordem. Os opositores argumentam que ela encoraja os criminosos a usar armas de fogo em uma corrida armamentista penal. Os criticos tambem temem que armar a policia vai afasta-los dos cidadaos cumpridores da lei.,,50,48,10,19,LAWANDORDER,300,960,,3,0,0,,#Effects,"Liberal,-0.05-(0.25*x)","CrimeRate,-0.10-(0.10*x)","ViolentCrimeRate,0.00-(0.20*x)",,"_security_,(0.025+0.035*x)",,,,,,
#,BanSundayShopping,Proibir Compras aos Domingos,default,"A religiao crista em geral, reconhece a 'Sabbath' como um dia de descanso e muitas pessoas religiosas acreditam que nao deve haver compras realizadas no mesmo dia. Alguns sindicatos tambem acreditam que um dia de descanso forcado impede seus membros a ser explorado.",,36,21,15,10,ECONOMY,0,0,,1,0,0,,#Effects,"Religious,0.12+(0*x)","Liberal,-0.08+(0*x)","GDP,-0.02+(0*x)","TradeUnionist,0.06+(0*x)",,,,,,,
#,BiofuelSubsidies,Subsidios Biocombustivel,default,"Os biocombustiveis podem reduzir a demanda de petroleo, atraves da mistura de etanol derivado do milho com o combustivel petro-quimico. Isso geralmente e popular entre os ambientalistas. Os agricultores que ganham dinheiro produzindo milho para o uso de biocombustiveis tambem se beneficiam. Biocombustiveis com uma mistura maior de etanol pode ser subsidiado atraves de incentivos fiscais.",,10,16,7,8,TRANSPORT,5,700,"CarUsage,0+(1.0*x)",2,0,0,,#Effects,"OilDemand,0-(0.12*x),8","Environmentalist,0.02+(0.06*x)","Farmers,0.05+(0.10*x),4","Motorist,0.02+(0.02*x)","Farmers_freq,0.02+(0.05*x),4","Farmers_income,0+(0.09*x)",,,,,
#,BorderControls,Controle de Fronteira,bordercontrols,"Sem algum tipo de controle alfandegario nas fronteiras, o seu pais esta aberto para o problema da imigracao ilegal em massa. Algumas pessoas argumentam que esses imigrantes causam crime, outros que eles tiram o emprego dos seus proprios cidadaos. Os controles nas fronteiras podem ser eficazes na reducao da imigracao ilegal.",UNCANCELLABLE,25,25,18,13,FOREIGNPOLICY,10,280,,1,0,0,,#Effects,"Patriot,0+(0.30*x)","Liberal,0-(0.225*x)","Immigration,0-(0.8*x),2","_Terrorism,0-(0.1*x)","EthnicMinorities,0.00-(0.42*x)",,,,,,
#,BusLanes,Linhas de Onibus,default,"Deixando de lado as pistas especificas de uma estrada para uso somente por onibus (e talvez taxis e motos) e uma forma de obter o trafego que flui mais rapido e evitar o congestionamento. Ele tambem reduz o tempo de viagem para o transporte publico e, portanto, incentiva o uso. Existem custos visiveis envolvidos na criacao de tais regimes, e os motoristas podem ficar irritados se os corredores de onibus parecem vazias, enquanto eles permanecem presos no transito.",,10,10,7,4,TRANSPORT,100,220,,2,0,0,,#Effects,"Commuter,0.05+(0.17*x)","Motorist,0.00-(0.25*x)","BusUsage,0.05+(0.2*x),2",,,,,,,,
#,BusSubsidies,Subsidio Onibus,default,"O congestionamento do trafego e a poluicao podem ser reduzidos por incentivo as pessoas a viajarem de onibus ao inves de carro. Pode ser uma opcao cara, porem, e alguns motoristas pode ressentir-se de um sistema de transporte que eles nao usam sendo subsidiado.",,10,18,7,7,TRANSPORT,125,1552,,6,0,0,,#Effects,"Commuter,0.10+(0.34*x)","Motorist,0.00-(0.15*x)","BusUsage,0.00+(0.32*x),2","_LowIncome,0+(0.07*x)","Commuter_income,0+(0.07*x)","Commuter_freq,0+(0.12*x),4","Capitalist,-0-(0.06*x)",,,,
#,CarbonTax,Imposto de Carbono,tax,"Um imposto sobre o carbono e um imposto que incide sobre todas as emissoes de dioxido de carbono, que se pensa ser a principal causa da mudanca climatica. O imposto e efetivamente um imposto sobre a poluicao, e uma maneira de fazer as pessoas e industrias que contribuem para a mudanca climatica pagar pelo dano que causam ou para reduzir as emissoes. Obviamente, o imposto e popular entre os ambientalistas, e tambem pode levar a uma economia mais eficiente da energia.",,39,21,12,8,TAX,0,0,,2,1150,31510,"CO2Emissions,0.5+(1.0*x)",#Effects,"CO2Emissions,0-(0.5*x),8","GDP,0-(0.1*x),4","Environmentalist,0.1+(0.1*x)","EnergyEfficiency,0+(0.25*x),8","_All_,0-(0.25*x)","AirTravel,0-(0.28*x),2","Capitalist,0.02-(0.11*x)",,,,
#,CarEmmissionsLimits,Limites de Emissao de Carros,default,"Estabelecer limites legais sobre os gases de escapamentos ajuda a reduzir a poluicao do ar, especialmente nas cidades, mas e impopular entre os motoristas que olham para ele como ainda mais burocracia e impostos.",,13,18,6,4,TRANSPORT,0,80,,5,0,0,,#Effects,"Motorist,0-(0.1*x)","Environmentalist,0.07+(0.10*x)","Environment,0+(0.23*x),16","CarUsage,-0.01-(0.02*x),4","CO2Emissions,-0.02-(0.08*x),16","Motorist_income,0-(0.06*x)",,,,,
#,CarTax,IPVA,default,"Tributar a propriedade de todos os veiculos a motor e uma maneira de convencer as pessoas a usar formas alternativas de transporte. Pode-se argumentar no entanto, que esse sistema aumenta os custos fixos de propriedade dos veiculos, incentivando as pessoas a usar um carro mais uma vez que tenham se dado ao trabalho de tributa-lo. Ha tambem o argumento de que este e um imposto que atinge injustamente os pobres e as pessoas em comunidades rurais onde um carro e uma necessidade.",MULTIPLYINCOME,38,18,18,7,TAX,0,0,,1,115,7435.9,"CarUsage,0+(1.0*x);TaxEvasion,1.0-(0.2*x)",#Effects,"CarUsage,0.00-(0.14*x),6","_MiddleIncome,0-(0.05*x)","Motorist,-0.05-(0.15*x)","Environmentalist,0.05+(0.05*x)","Motorist_freq,-0.1-(0.2*x)","Motorist_income,0-(0.08*x)","Farmers,-0.03-(0.03*x)",,,,
#,CCTVCameras,Cameras CCTV,cctv,"Cameras de CCTV pode ser uma grande ajuda na captura de criminosos e cameras tambem deter o crime. Os custos de instalacao sao extremamente elevados, e ha preocupacoes sobre os direitos civis de pessoas que nao gostam de sentir que o governo esta constantemente a observa-los.",,28,28,9,7,LAWANDORDER,400,720,,2,0,0,,#Effects,"Liberal,-0.075-(0.135*x)","CrimeRate,-0.05-(0.15*x),4","ViolentCrimeRate,-0.10-(0.20*x),3","Conservatives,0.10+(0.14*x)","_security_,(0.025+0.038*x)",,,,,,
#,ChildBenefit,Beneficio Crianca,default,"Um pagamento fixo feito pelo Estado diretamente para os pais para ajudar no custo da educacao dos filhos. Popular com os pais, por razoes obvias, e os pobres que o veem como um imposto redistributivo, mas os capitalistas opoem-se a um nivel tao desnecessario de interferencia por parte do governo.",,18,22,9,10,WELFARE,400,4320,,2,0,0,,#Effects,"Capitalist,-0.05-(0.02*x)","Poor,0.05+(0.04*x)","Equality,0.1+(0.2*x)","Parents,0+(0.23*x)","Liberal,0.05+(0.12*x)","Parents_freq,0.025+(0.05*x),2","_LowIncome,0+(0.07*x)","Parents_income,0+(0.05*x)",,,
#,ChildcareProvision,Provisao de Cuidado de Criancas,default,"Ao dar subsidios estatais de acolhimento de criancas, podemos garantir que mais pais possam voltar ao mercado de trabalho depois de ter filhos, e, portanto, beneficiar a economia. Embora isso possa ser caro, e tambem e uma distorcao do mercado, e popular com os pais.",,16,21,7,10,WELFARE,400,5020,"GDP,0.4+(0.6*x)",1,0,0,,#Effects,"Parents,0.05+(0.06*x)","Capitalist,-0.03-(0.02*x)","WorkerProductivity,0.02+(0.08*x),2","Parents_freq,0.025+(0.045*x),2","Parents_income,0+(0.03*x)","Unemployment,-0.01-(0.11*x)",,,,,
#,CitizenshipTests,Teste de Cidadania,default,"Testes de Cidadania sao uma forma de garantir que as pessoas que migram para o nosso pais demonstrem uma compreensao da nossa cultura e historia. Isso diminui as chances de um choque de culturas para os recem-chegados ao pais, estimula a integracao e tranquiliza membros patrioticas da sociedade que eles nao precisam temer a imigracao.",,25,25,7,4,FOREIGNPOLICY,10,50,"Immigration,0+(1.0*x)",2,0,0,,#Effects,"Patriot,0.1+(0.16*x)","RacialTension,-0.1-(0.22*x),6","Patriot_freq,0.02+(0.04*x),4","Immigration,-0.05-(0.1*x)","Liberal,-0.02-(0.03*x)","EthnicMinorities,-0.02-(0.03*x)",,,,,
#,CleanEnergySubsidies,Subsidios Energia Limpa,default,"A energia renovavel nao pode ser ultra-eficiente ainda, mas ha um argumento para investir pesadamente em agora de modo a preparar estrategicamente nosso pais para um futuro sem combustiveis fosseis. Ambientalistas estao felizes por razoes obvias, mas os capitalistas ve-lo como uma distorcao indesejavel do mercado de energia.",,2,13,1,7,ECONOMY,590,1560,"GDP,0.2+(0.8*x)",8,0,0,,#Effects,"Environmentalist,0.05+(0.11*x)","Capitalist,-0.02-(0.05*x)","Environment,0.1+(0.14*x),8","EnergyEfficiency,0.01+(0.25*x),4","CO2Emissions,-0.02-(0.13*x),12",,,,,,
#,CleanFuelSubsidy,Subsidios Combustivel Limpo,default,"Um subsidio para combustiveis mais limpos, como combustivel Baixo Nivel de Enxofre, em um esforco para reduzir o impacto ambiental do automobilismo. O subsidio ira reduzir os custos de conversores cataliticos de montagem para carros mais velhos, e dar um incentivo na bomba para escolher combustiveis menos prejudiciais.",,14,18,6,7,TRANSPORT,120,320,"CarUsage,0+(1.0*x)",1,0,0,,#Effects,"Environment,0.00+(0.07*x),4","Environmentalist,0.04+(0.10*x)","Motorist,0.02+(0.02*x)","Motorist_income,0.02+(0.08*x)",,,,,,,
#,CommunityPolicing,Policia Comunitaria,default,"Trabalhar com a comunidade ao inves de tentar controla-lo. O policiamento comunitario encoraja a policia para entender melhor as necessidades da comunidade local, especialmente em areas com minorias etnicas. Os criticos veem como um desperdicio caro de dinheiro que poderia ser gasto em metodos mais diretos para cortar crime.",,1,6,0,2,LAWANDORDER,100,639,,5,0,0,,#Effects,"Liberal,0.05+(0.05*x)","CrimeRate,-0.02-(0.05*x),4","ViolentCrimeRate,-0.02-(0.03*x),4","RacialTension,0-(0.08*x),4","_global_liberalism,0+(0.1*x),8",,,,,,
#,ConsumerRights,Direitos do Consumidor,consumerrights,"A um nivel minimo, o estado garante que o consumidor nao esta totalmente explorado, na outra extremidade do espectro, a legislacao draconianas pode beneficiar o consumidor, em detrimento da actividade. As empresas queixam-se frequentemente a quantidade de legislacao que rege a venda para o publico.",,14,20,10,7,ECONOMY,5,8,,1,0,0,,#Effects,"Capitalist,0.00-(0.06*x)","SelfEmployed,0.00-(0.10*x)","Liberal,0.00+(0.15*x)","GDP,-0.04*(x^4)","SelfEmployed,-0.02-(0.04*x)",,,,,,
#,CorporationTax,Imposto Corporativo,corptax,"Um imposto direto e proporcional sobre os lucros das empresas. Alguns argumentam que esta deve ser a unica forma de tributacao, outros que tais impostos sufocam o empreendedorismo e desencorajam as pessoas de iniciar um negocio. Muitas vezes, e uma das principais maneiras que o governo traz em dinheiro.",MULTIPLYINCOME,30,30,19,10,TAX,0,0,,1,575,30638.3,"GDP,0.5+(0.5*x);TaxEvasion,1.0-(0.2*x)",#Effects,"Socialist,0+(0.22*x)","Capitalist,-0.03-(0.23*x)","Wealthy,0-(0.2*x)","SelfEmployed,0-(0.12*x)","GDP,-0.27*(x^5),6","_HighIncome,0-(0.07*x)","_global_socialism,0+(0.02*x)","SelfEmployed_income,0-(0.1*x)",,,
#,Creationism,Criacionismo vs. Evolucao,creationism,"A batalha amarga se desencadeou sobre a maneira como as criancas sao ensinadas evolucao versus criacionismo. Os cientistas e os liberais consideram obvio que a evolucao baseada em evidencias deve ser ensinado nas aulas de ciencias. Alguns grupos religiosos acham que e errado ensinar a evolucao ou darwinismo como fato, quando se permanece uma teoria nao comprovada ou que o criacionismo deveria ser ensinado como uma teoria alternativa na ciencia. O governo tem que decidir o que e ensinado em nossas escolas.",UNCANCELLABLE,40,40,30,21,PUBLICSERVICES,0,0,,1,0,0,,#Effects,"Religious,0.3-(0.6*x)","Liberal,-0.35+(0.6*x)","Religious_freq,0.35-(x*0.7),30","_global_liberalism,-0.08+(0.16*x),16",,,,,,,
#,Curfews,Toque de Recolher,curfews,"Introduzido por um curto periodo de tempo em estado de emergencia nacional. Estes podem ser uma forma eficaz de combater o crime ao custo de muita liberdade pessoal. Muitas vezes, porem, o que limita a capacidade dos cidadaos pacificos que deixar suas casas durante a noite pode ser um sinal de degeneracao de um pais para o autoritarismo grave.",,50,13,36,6,LAWANDORDER,80,200,,1,0,0,,#Effects,"CrimeRate,-0.05-(0.15*x)","ViolentCrimeRate,-0.05-(0.15*x)","_All_,-0.05-(0.2*x)","Liberal,-0.1-(0.25*x)","_Terrorism,-0.1-(0.3*x)","_security_,0.12+(0.11*x)","GDP,-0.08*(x^4)",,,,
#,DeathPenalty,Pena de Morte,deathpenalty,"A pena de morte e a punicao final para crimes graves. Os adversarios estao preocupados com a possibilidade de matar a pessoa errada, e sugerem que apenas um estado barbaro tem a pena de morte. Os defensores apontam que ele absolutamente nao garante a reincidencia, e atua como um impedimento para o crime serio.",,50,54,44,21,LAWANDORDER,0,0,,3,0,0,,#Effects,"Patriot,0.10+(0.02*x)","Liberal,-0.10-(0.05*x)","ViolentCrimeRate,-0.05-(0.10*x),4","_global_liberalism,-0.04-(0.04*x),8","Conservatives,0.20+(0.14*x)",,,,,,
#,DetentionWithoutTrial,Detencao Sem Julgamento,detention,"Detencao sem julgamento permite que a policia e servicos de seguranca para deter suspeitos quando eles nao tem provas suficientes (ou nao pode revelar evidencia sensivel) para condenar suspeitos. Isso pode ser justificado em nome da prevencao do terrorismo, mas os liberais temem que este viole os direitos humanos.",,50,16,36,19,LAWANDORDER,2,2,,1,0,0,,#Effects,"Patriot,0.1+(0.1*x)","Liberal,-0.15-(0.1*x)","_Terrorism,-0.1-(0.1*x)","_security_,(0.05+0.05*x)","ForeignRelations,0-(0.10*x)",,,,,,
#,DisabilityBenefit,Beneficio por Imcapacidade,default,Um pagamento direto do Estado para as pessoas com deficiencia a fim de permitir o fato de que eles sao possivelmente incapaz ou precisar de assistencia para o trabalho. Alem disso muitas pessoas com deficiencia tem necessidades especiais em termos de transporte ou habitacao.,,9,19,4,7,WELFARE,50,420,,1,0,0,,#Effects,"Capitalist,-0.04-(0.05*x)","Equality,0.05+(0.05*x),3","Retired,0.02+(0.02*x)",,,,,,,,
#,FaithSchoolSubsidies,Subsidios Escolas Religiosas,default,As escolas religiosas pode conseguir bons padroes academicos. Seus apoiadores fazer um caso que o governo deveria subsidiar metodos de educacao que se provou ser eficaz. Os criticos dizem que a religiao nao tem lugar na educacao e que o governo nao pode ser visto como instigadora de uma religiao em particular sobre as criancas.,,50,36,28,21,PUBLICSERVICES,180,1160,,1,0,0,,#Effects,"Religious,0.13+(0.10*x)","Education,0.04+(0.04*x)","Religious_freq,0.02+(0.35*x),30","RacialTension,0.1+(0.17*x)","Religious_income,0+(0.08*x)",,,,,,
#,ForeignAid,Ajuda Externa,default,"Alguns paises estrangeiros tem economias muito pobres, a baixa escolaridade ou falta de alimentos, e pode-se argumentar que os paises relativamente ricos como o nosso tem a obrigacao moral de ajuda-los. Outros podem argumentar que a primeira prioridade de qualquer nacao e aos seus proprios cidadaos, e se os cidadaos quiserem ajudar, podem faze-lo individualmente, atraves de instituicoes de caridade.",,14,16,7,7,FOREIGNPOLICY,200,2490,,2,0,0,,#Effects,"Socialist,0.02+(0.06*x)","Patriot,-0.02-(0.28*x)","Liberal,0+0.10*x)","ForeignRelations,0+(0.6*x),4","EthnicMinorities,0.02+(0.20*x)",,,,,,
#,FreeBusPasses,Passagens de Onibus Gratuitas,default,"Tradicionalmente, a viagem de onibus gratuito e oferecido como uma concessao aos cidadaos aposentados. Isto pode ser caro, mas e uma otima maneira de reduzir o uso de automoveis e, assim, reduzir a poluicao e os congestionamentos. Alguns se opoem a uma tal distorcao do mercado, no entanto.", ,13,19,3,8,TRANSPORT,220,800,,2,0,0,,#Effects,"Retired,0.01+(0.08*x)","BusUsage,0.05+(0.15*x),4","_LowIncome,0.01+(0.04*x)","Retired_income,0+(0.05*x)",,,,,,,
#,FreeEyeTests,Testes Gratis de Visao,default,"Exames oftalmologicos detectam os problemas mais cedo e aconselham as pessoas com deficiencia visual que precisam de oculos. Fazer seus teste oftalmologicos em particular pode ser caro, e e um luxo que muitas pessoas so fazem quando precisam. Os socialistas acreditam que o fornecimento universal de exames oftalmologicos gratuitos sao essenciais no fornecimento de uma rede de seguranca saude para todos.",,8,15,6,7,PUBLICSERVICES,200,240,,1,0,0,,#Effects,"Poor,0.05+(0.05*x)","Capitalist,0-(0.05*x)","Wealthy,0.00-(0.10*x)","Socialist,0.01+(0.03*x)","PovertyRate,-0.03-(0.03*x),4","_LowIncome,0.05+(0.05*x)","Retired,0.02+(0.04*x)","Health,0.01+(0.02*x),16",,,
#,FreeSchoolMeals,Refeicoes Escolares Gratis,default,"Nao sao apenas as refeicoes escolares gratuitas uma forma de redistribuicao da riqueza, garantindo que todos podem dar ao luxo de alimentar seus filhos, mas tambem uma forma de garantir que as criancas comem de forma saudavel, em vez de sobreviver puramente de porcaria. ",,10,18,3,4,PUBLICSERVICES,210,320,,1,0,0,,#Effects,"Poor,0.00+(0.05*x)","Health,0.00+(0.09*x),16","Socialist,0.01+(0.03*x)","PovertyRate,-0.05-(0.11*x)","Parents,0.01+(0.03*x)","Parents_freq,0.01+(0.02*x)","_LowIncome,0+(0.05*x)","Obesity,0-(0.06*x),16",,,
#,Gambling,Apostando,gambling,"Para alguns, o jogo e um pecado que leva a pobreza e desastre, mas outros acreditam que algum jogo social e uma diversao inofensiva, que tambem pode ser tributado bem pelo governo como uma forma adicional de receita. Alem disso, incentiva o turismo e cria empregos.",,27,32,19,14,LAWANDORDER,0,0,,3,0,0,,#Effects,"Liberal,0.00+(0.08*x)","Religious,0.00-(0.15*x)","GDP,0.00+(0.04*x),6","Unemployment,0.00-(0.03*x),4","Capitalist,0.01+(0.04*x)",,,,,,
#,GatedCommunities,Condominios Fechados,gatedcommunities,"A solucao drastica para o crime de rua grave e o vandalismo, os condominios fechados sao, basicamente, as areas residenciais de auto-policiada. Eles sao populares com os ricos, mas muitas vezes associada a divisao de classes e da desigualdade, ja que apenas os relativamente ricos podem dar ao luxo de viver dentro deles. Como resultado, alguns governos estao relutantes em permitir a sua construcao.",,13,14,7,4,LAWANDORDER,0,0,,12,0,0,,#Effects,"CrimeRate,0.00-(0.07*x)","Conservatives,0.00+(0.40*x)","Liberal,0.00-(0.11*x)","Equality,0.00-(0.11*x),8","_global_liberalism,-0.01-(0.09*x),12","Wealthy,0.00+(0.42*x)",,,,,
#,GraduateTax,Imposto de Graduacao,default,"Um imposto de graduacao e um imposto cobrado dedicado exclusivamente as pessoas formar na universidade, como uma forma de eles contribuindo para o custo da sua matricula na universidade. Os defensores dizem que isso e justo, porque nem todo mundo se beneficia de uma educacao universitaria. Os opositores argumentam que ele cria um desincentivo para estudar assuntos puramente academicas e as artes, bem como penalizar ambicao.",,24,2,10,0,TAX,2,2,,1,200,2600,,#Effects,"Young,-0.2-(0.1*x)","Capitalist,0.02+(0.01*x)","Socialist,-0.05-(0.02*x)","_MiddleIncome,0-(0.05*x)","Young_income,-0.01-(0.13*x)",,,,,,
#,HandgunLaws,Lei de Armas,gunlaws,"Alguns paises permitem a posse praticamente sem restricoes de qualquer tipo de arma de fogo, enquanto que em outros e estritamente controlada. Algumas pessoas falam do direito basico de defender a si mesmo, os outros estao preocupados que a posse de armas leva a arma do crime.",UNCANCELLABLE,50,45,40,34,LAWANDORDER,0,4,,1,0,0,,#Effects,"ViolentCrimeRate,0.20-(0.40*x),4","Liberal,0.00-(0.12*x)","Patriot,0.20-(0.40*x)","Parents,-0.15+(0.30*x)","_global_liberalism,0-(0.05*x),8",,,,,,
#,HybridCarsInitiative,Iniciativa de Carros Hibridos,default,"Os carros hibridos sao menos prejudiciais ao meio ambiente, pois em velocidades mais lentas que utilizam motores eletricos que nao produzem CO2. Eles tambem obter maior eficiencia de combustivel, reduzindo assim a demanda por petroleo. A desvantagem e que eles sao muito caros, mas os incentivos fiscais podem encorajar mais pessoas a comprar modelos hibridos quando chegam novos carros.",,9,14,4,6,TAX,5,200,"CarUsage,0+(1.0*x)",1,0,0,,#Effects,"OilDemand,-0.02-(0.12*x) *CarUsage,4","Environmentalist,0.02+(0.09*x)","Motorist,0.02+(0.02*x)","CarUsage,0.01+(0.02*x)","Environmentalist_income,0+(0.05*x)","Environment,0.02+(0.12*x)*CarUsage,4","Environmentalist_freq,0+(0.05*x),8",,,,
#,IDCards,Identidades,idcards,"Alguns dizem cartoes de identificacao agir como um poderoso dissuasor contra o terrorismo e outros crimes graves, mas os liberais argumentam que e uma violacao das liberdades civis de um individuo para o Estado a exigir que os cidadaos se identificam no local.",,50,25,39,20,LAWANDORDER,100,1200,,12,0,0,,#Effects,"Liberal,-0.15-(0.35*x)","CrimeRate,0.00-(0.14*x)","ViolentCrimeRate,0.00-(0.50*x)","Conservatives,0.10+(0.14*x)","_security_,0+(0.15*x)","Patriot,0.11+(0.07*x)",,,,,
#,ImportTarrifs,Tarifas de Importacao,default,"Importados baratos pode ser prejudicial para a economia, porque as empresas locais nao podem coincidir com os salarios mais baixos pagos pelos concorrentes estrangeiros. As tarifas de importacao ajudam a proteger os fabricantes locais de competicao injusta. Isso vai contra o Real economia de livre iniciativa, porem, e pode ser visto como sendo injusto com paises estrangeiros, possivelmente provocando retaliacao.",,13,13,7,7,FOREIGNPOLICY,0,0,,5,69,154.33, ,#Effects,"Capitalist,0.10-(0.10*x)","Unemployment,0.00-(0.10*x)","Patriot,0.10+(0.10*x)","ForeignRelations,0-(0.16*x)","InternationalTrade,-0.1-(0.35*x)",,,,,,
#,IncomeTax,Imposto de Renda,incometax,"Uma das maneiras mais populares para arrecadar dinheiro para o governo e um imposto direto sobre os lucros povos, retidos na fonte pelo empregador. O imposto de renda e geralmente um imposto progressivo (os ricos pagar mais como uma fracao de sua renda do que os pobres) e, por esta razao, e popular entre os socialistas e os baixos salarios.",MULTIPLYINCOME,43,13,30,7,TAX,0,0,,1,2300,123464,"GDP,0.5+(0.5*x);TaxEvasion,1.0-(0.2*x)",#Effects,"Socialist,0+(0.112*x)","Capitalist,0-(0.33*x)","Equality,0+(0.3*x),4","MiddleIncome,0-(1.07*x)","Wealthy,0-(x^11)","_LowIncome,0-(0.10*x)","_MiddleIncome,0-(0.14*x)","_HighIncome,0-(0.20*x)", ,,
#,FlatTax,Imposto de Renda Fixa,incometax,"Um imposto de renda fixa e um imposto que cada cidadao paga a mesma taxa marginal de imposto de renda, independentemente de sua renda total. Como resultado, o faxineiro do escritorio paga a mesma taxa que o CEO, embora conta total de impostos do CEO sera maior. Esta estrutura mais simples pode levar a esquiva menor e evasao. Nao e progressiva, e pode exacerbar a desigualdade de renda.",MULTIPLYINCOME,43,13,32,9,TAX,0,0,,1,2300,123464,"GDP,0.5+(0.5*x);TaxEvasion,1.0-(0.05*x)",#Effects,"Socialist,0-(0.25*x)","Capitalist,0-(0.12*x)","Equality,0-(0.3*x),4","MiddleIncome,0-(0.80*x)","Wealthy,-0.2*(x^11)","_LowIncome,0-(0.15*x)","_MiddleIncome,0-(0.14*x)","_HighIncome,0-(0.10*x)","Poor,0-(0.85*x)",,
